Star Wars: Episode IX - The Rise of Skywalker,3737787.0,Walt Disney PicturesSee full company information,"Action,  Adventure,  Fantasy,  Sci-Fi"
Jumanji: The Next Level,4694041.0,Sony Pictures ReleasingSee full company information,"Action,  Adventure,  Comedy,  Fantasy"
Frozen II,3461954.0,Walt Disney PicturesSee full company information,"Adventure,  Animation,  Comedy,  Drama,  Family,  Fantasy,  Musical"
Charlie's Angels,3635610.0,Sony Pictures ReleasingSee full company information,"Action,  Adventure,  Comedy"
Maleficent: Mistress of Evil,4893878.0,Walt Disney PicturesSee full company information,"Adventure,  Drama,  Family,  Fantasy,  Romance"
Avengers: Endgame,15455635.0,Walt Disney PicturesSee full company information,"Action,  Adventure,  Drama,  Sci-Fi"
Dumbo,167025.0,Walt Disney PicturesSee full company information,"Adventure,  Family,  Fantasy"
Captain Marvel,1730765.0,Walt Disney PicturesSee full company information,"Action,  Adventure,  Sci-Fi"
Green Book,31536.0,CJ EntertainmentSee full company information,"Biography,  Comedy,  Drama,  Music"
Happy Death Day 2U,190640.0,Universal Pictures International (UPI)See full company information,"Comedy,  Horror,  Mystery,  Sci-Fi,  Thriller"
Alita: Battle Angel,2081154.0,20th Century Fox InternationalSee full company information,"Action,  Adventure,  Sci-Fi,  Thriller"
Glass,520926.0,Walt Disney PicturesSee full company information,"Drama,  Horror,  Sci-Fi,  Thriller"
The Kid Who Would Be King,1791508.0,20th Century Fox InternationalSee full company information,"Action,  Adventure,  Family,  Fantasy"
How to Train Your Dragon: The Hidden World,2771479.0,Universal Pictures International (UPI)See full company information,"Action,  Adventure,  Animation,  Comedy,  Drama,  Family,  Fantasy"
Bumblebee,1233313.0,Paramount Pictures InternationalSee full company information,"Action,  Adventure,  Sci-Fi"
The New Mutants,150123.0,Walt Disney PicturesSee full company information,"Action,  Horror,  Mystery,  Sci-Fi"
The Empty Man,1128.0,Walt Disney PicturesSee full company information,"Drama,  Horror,  Mystery,  Thriller"
Bloodshot,205385.0,Sony Pictures ReleasingSee full company information,"Action,  Adventure,  Sci-Fi"
The Invisible Man,507539.0,PT Omega Film,"Drama,  Horror,  Mystery,  Sci-Fi,  Thriller"
The Call of the Wild,430623.0,Walt Disney PicturesSee full company information,"Adventure,  Drama,  Family"
Fantasy Island,1270043.0,Sony Pictures ReleasingSee full company information,"Fantasy,  Horror,  Mystery"
Birds of Prey,3180540.0,Warner Bros.See full company information,"Action,  Comedy,  Crime"
Bad Boys for Life,1394682.0,Sony Pictures ReleasingSee full company information,"Action,  Comedy,  Crime,  Thriller"
Dolittle,3539060.0,PT Omega Film,"Adventure,  Comedy,  Family,  Fantasy"
Underwater,1737287.0,Walt Disney PicturesSee full company information,"Action,  Horror,  Sci-Fi,  Thriller"
The Grudge,1706074.0,Sony Pictures ReleasingSee full company information,"Fantasy,  Horror"
The King's Man,489707.0,Walt Disney Studios Motion PicturesSee full company information,"Action,  Adventure,  Thriller"
House of Gucci,131167.0,Universal Pictures International (UPI)See full company information,"Biography,  Crime,  Drama"
Eternals,355723.0,Walt Disney Studios Motion PicturesSee full company information,"Action,  Adventure,  Fantasy,  Sci-Fi"
