Film Name,Pendapatan Kotor ($),Distributor,Genre
Star Wars: Episode IX - The Rise of Skywalker,3737787.0,Walt Disney Pictures,Action
Star Wars: Episode IX - The Rise of Skywalker,3737787.0,Walt Disney Pictures, Adventure
Star Wars: Episode IX - The Rise of Skywalker,3737787.0,Walt Disney Pictures, Fantasy
Star Wars: Episode IX - The Rise of Skywalker,3737787.0,Walt Disney Pictures, Sci-Fi
Jumanji: The Next Level,4694041.0,Sony Pictures Releasing,Action
Jumanji: The Next Level,4694041.0,Sony Pictures Releasing, Adventure
Jumanji: The Next Level,4694041.0,Sony Pictures Releasing, Comedy
Jumanji: The Next Level,4694041.0,Sony Pictures Releasing, Fantasy
Frozen II,3461954.0,Walt Disney Pictures,Adventure
Frozen II,3461954.0,Walt Disney Pictures, Animation
Frozen II,3461954.0,Walt Disney Pictures, Comedy
Frozen II,3461954.0,Walt Disney Pictures, Drama
Frozen II,3461954.0,Walt Disney Pictures, Family
Frozen II,3461954.0,Walt Disney Pictures, Fantasy
Frozen II,3461954.0,Walt Disney Pictures, Musical
Charlie's Angels,3635610.0,Sony Pictures Releasing,Action
Charlie's Angels,3635610.0,Sony Pictures Releasing, Adventure
Charlie's Angels,3635610.0,Sony Pictures Releasing, Comedy
Maleficent: Mistress of Evil,4893878.0,Walt Disney Pictures,Adventure
Maleficent: Mistress of Evil,4893878.0,Walt Disney Pictures, Drama
Maleficent: Mistress of Evil,4893878.0,Walt Disney Pictures, Family
Maleficent: Mistress of Evil,4893878.0,Walt Disney Pictures, Fantasy
Maleficent: Mistress of Evil,4893878.0,Walt Disney Pictures, Romance
Avengers: Endgame,15455635.0,Walt Disney Pictures,Action
Avengers: Endgame,15455635.0,Walt Disney Pictures, Adventure
Avengers: Endgame,15455635.0,Walt Disney Pictures, Drama
Avengers: Endgame,15455635.0,Walt Disney Pictures, Sci-Fi
Dumbo,167025.0,Walt Disney Pictures,Adventure
Dumbo,167025.0,Walt Disney Pictures, Family
Dumbo,167025.0,Walt Disney Pictures, Fantasy
Captain Marvel,1730765.0,Walt Disney Pictures,Action
Captain Marvel,1730765.0,Walt Disney Pictures, Adventure
Captain Marvel,1730765.0,Walt Disney Pictures, Sci-Fi
Green Book,31536.0,CJ Entertainment,Biography
